1,Move a TV,,2018-10-09,14:30,,"15 Little Road #06-02, 536988, Singapore",test14@example.com,2018-10-09
2,Wall Fixing,Need help!,2018-11-27,16:40,,"20 Upper Circular Road #03-06A The Riverwalk, 058416, Singapore",test4@example.com,2018-11-27
3,Painting Wall,paint wall with nature design,2018-10-28,12:30,,"9 Pandan Road, 609257, Singapore",test8@example.com,2018-10-28
4,Shifting Furniture,,2018-12-30,12:00,,"487, Bedok South Avenue 2, 469316, Singapore",test20@example.com,2018-12-30
5,Fix light,bulb faulty,2018-10-16,18:00,,"Royal Tanglin Golf Course 130E Minden Road Singapore 248819, Singapore",test4@example.com,2018-10-16
6,Unclogging Toilet,Toilet bowl choked.,2018-10-12,17:45,,"group reservations banyan tree building 211 upper bukit timah road, 588182, Singapore",test20@example.com,2018-10-12
7,Cooking dinner,Will be hosting a party. require help to cook for 20,2018-11-01,20:00,,"Bruderer 65 Loyang Way Singapore 508755, Singapore",test1@example.com,2018-11-01
8,House Painting,Need help!,2018-11-24,13:00,,"8 Robinson Road #14-00 Aso Building, 048544, Singapore",test17@example.com,2018-11-24
9,Baby-sitting,my baby niece will be over on 28th October. I have no experience in baby-sitting,2018-10-28,9:00,,"Block 77, Marine Drive, ,06-48 440077, Singapore",test12@example.com,2018-10-28
10,House Decoration,Interior Design Help Needed,2018-10-29,12:30,,"1003 Bukit Merah Central #04-16 Entrepreneur Centre, 159836, Singapore",test4@example.com,2018-10-29
11,Taking care of pet dog,Will be away over the weekend. need help to take care of my dog,2018-10-13,9:30,,"126 Joo Seng Road #05-14 Gold Pine Industrial Building, 368355, Singapore",test17@example.com,2018-10-13
12,Look After Elderly,Need someone to help me watch my grandma while I am out.,2019-01-27,8:00,,"40, loyang drive, 508961, Singapore",test6@example.com,2019-01-27
13,Fix heater,Urgent! need hot water badly at home,2018-10-14,19:00,,"9 Temasek Boulevard #13-02 Suntec Tower Two, 038989, Singapore",test1@example.com,2018-10-14
14,Fix Car,Car Engine Faulty. Need Assistance.,2018-10-25,13:20,,"1 Brooke Road #03-07 Katong Plaza Singapore 429979, Singapore",test8@example.com,2018-10-25
15,Wash Air-con,Air-con very dirty but I am not experienced with cleaning it,2018-12-16,15:00,,"10 Eunos Road 8 #09-04 Singapore Post Centre, 408600, Singapore",test11@example.com,2018-12-16
16,Fix laptop,Appreciate help from anyone who can help to fix my laptop,2018-11-15,12:00,,"27 Wilby Road #B1-00 Singapore 276302, Singapore",test19@example.com,2018-11-15
17,Grocery Shopping,Contact me for details about what I need. Will pay well!,2018-10-29,14:45,,"142 tagore lane, 787561, Singapore",test6@example.com,2018-10-29
18,Spring cleaning,Need help to spring clean my house when it is new year. too much cleaning to handle,2019-01-15,12:00,,"Blk 2 Kaki Bukit Ave 1, 03-06/08 Kaki Bukit Industrial Estate, 417938, Singapore",test10@example.com,2019-01-15
19,Equipment Maintenance,Whole store room of items caked with dust. Need help with cleaning up.,2018-10-20,7:00,,"36 Pioneer Road, 628504, Singapore",test4@example.com,2018-10-20
20,Wash koi pond,"Need help to wash my koi pond, there is too much algae growing",2018-10-27,10:00,,"61, Chestnut Dr Singapore 679303, Singapore",test20@example.com,2018-10-27
21,Lawn-mowing,,2018-11-01,8:00,,"5 International Business Park INFORMATICS BUILDING, 609914, Singapore",test17@example.com,2018-11-01
22,Deliver item,My friend needs her delivered item urgently this weekend but I will not be free to deliver to her. Will need someone to pickup the item from me and deliver to her. ,2018-10-13,14:00,,"101 Eunos Avenue 3 EUNOS INDUSTRIAL ESTATE, 409835, Singapore",test4@example.com,2018-10-13
23,Clean Windows,Risky but will provide safety equipment!,2018-12-11,12:00,,"77 Robinson Road Robinson 77, 068896, Singapore",test16@example.com,2018-12-11
24,Remove potted plants in garden,Need help to dispose potted plants.,2018-11-12,13:00,,"8 Changi North Street 2, 498830, Singapore",test18@example.com,2018-11-12
25,Food Delivery,Help me to bring food that I cooked to my son in another neighbourhood.,2018-11-27,11:30,,"38 Woodlands Industrial Park E1 #05-14, 757700, Singapore",test8@example.com,2018-11-27
26,Car wash,Car is very dirty. ,2018-12-11,10:00,,"487, Bedok South Avenue 2, 469316, Singapore",test4@example.com,2018-12-11
27,Moving House,Help with shifting of furniture when moving house.,2019-05-17,10:00,,"59 Tuas South Ave 1, 637401, Singapore",test5@example.com,2019-05-17
28,Repair creaky door,Sound is very disturbing but I no idea how to do. Someone help please,2018-10-12,12:00,,"110 Turf Club Road, 288000, Singapore",test13@example.com,2018-10-12
29,Remove Unwanted Furniture,Help to properly dispose of unnecessary furniture left in my home.,2018-12-07,15:00,,"37 Pandan Road, 609280, Singapore",test15@example.com,2018-12-07
30,Sew torn shirt,Shirt is torn but I don't wish to throw it away. ,2018-11-21,14:30,,"108 Gerald Drive #04-38, 799035, Singapore",test8@example.com,2018-11-21
